epoch,learning_rate,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,validation_loss,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro
1,0.001,1.4747040268792047,0.4527777777777778,0.44383187043198224,0.4527368911234887,0.44541023934777746,1.2730521554946899,0.5312,0.5579504276352828,0.5272478615774701,0.5169809946774462
2,0.001,1.0799233221901787,0.6111777777777778,0.6058068059774209,0.6112789762896288,0.6079516669722289,1.204432597351074,0.5886,0.6316107695843043,0.5869885033700598,0.585758078148887
3,0.001,0.9297689559618632,0.6686444444444445,0.6657049067578907,0.6687671875359102,0.6670030338986288,0.9729723756790161,0.6574,0.700074816413061,0.6545724251043707,0.6576459224066802
4,0.001,0.8215109878963894,0.7126888888888889,0.7108030123199228,0.7128280453723461,0.7117150479879226,0.8904762652397156,0.6856,0.7164649880173874,0.6851280091984904,0.6858527368347682
5,0.001,0.7510927518950569,0.736,0.7350862309747436,0.7361426420720941,0.7355553939307293,0.823865411567688,0.7098,0.7272729848339093,0.7082799955313079,0.6966965667151971
6,0.001,0.686936952495575,0.7617111111111111,0.7610514417833317,0.7618543892392388,0.7614151036170198,0.6801303560256958,0.7634,0.7667816021723428,0.7631301962371574,0.7614502249356676
7,0.001,0.6459343739085728,0.7750444444444444,0.7746737562722358,0.7751679113236339,0.7748538647890665,0.7337982505798339,0.753,0.7659833219467408,0.7528556499322517,0.7488332921060719
8,0.001,0.6075299147923787,0.7901777777777778,0.7897236936951386,0.7903082892096498,0.7899562957635081,0.6242949211120605,0.7818,0.7952298387445524,0.7799871819403842,0.7834731990101389
9,0.001,0.5778333278444078,0.8008,0.8004422488418866,0.8009156455544295,0.8006303260817781,0.6228446848869323,0.7806,0.7929366716683101,0.7800992191608677,0.7798375413436439
10,0.001,0.5518762184884813,0.8110888888888889,0.8109338897426783,0.811198684723545,0.8110148271228519,0.6502301762580872,0.7806,0.8028431312820485,0.7799137714318498,0.7801480648761637
11,0.001,0.5294523497740428,0.8169555555555555,0.8168600005148583,0.8170748442815222,0.8169207951347032,0.5997011012077331,0.7958,0.8118314150511823,0.7929541718062835,0.7947358540620015
12,0.001,0.5062109435717265,0.8251555555555555,0.8249939338329014,0.8252704503273751,0.8250836451685004,0.7036118447303772,0.7748,0.7961915586937727,0.7758084847135661,0.7733574386823763
13,0.001,0.49176744485431245,0.8304222222222222,0.8302600059590022,0.8305234125161352,0.8303532249512748,0.5134071534156799,0.8218,0.8269943664254942,0.8210681656756931,0.8193052398590532
14,0.001,0.47186518594953747,0.8394222222222222,0.8391676449091428,0.8395376042094636,0.8392955975749106,0.5305978797912597,0.8246,0.8265045805090541,0.8235576544512693,0.8201701601686956
15,0.001,0.4585065439330207,0.8419555555555556,0.8416803031546719,0.8420609451059311,0.8418014582671466,0.5726233898162841,0.802,0.8211041638011898,0.8000838564842452,0.8026686022933112
16,0.001,0.43932794693840876,0.8479333333333333,0.8478242887085126,0.8480350775529344,0.847870075303937,0.49687046222686765,0.84,0.8389355326024726,0.8391368048473318,0.83628928028373
17,0.001,0.43150115840170117,0.8531111111111112,0.8529279072485838,0.8532196049048674,0.853022781013958,0.4660536254882813,0.8354,0.833501315312121,0.8340096717894043,0.8326471673768262
18,0.001,0.4196151975048913,0.8555777777777778,0.8554588669992602,0.855689275310282,0.8555405885238141,0.5202801107406616,0.8262,0.8312627586106254,0.8247291320312684,0.8246844977968125
19,0.001,0.40436192285749645,0.8607111111111111,0.8605460782613925,0.8608091906592458,0.8606363455292225,0.5063865346431732,0.831,0.8334459828157549,0.8295138065900239,0.8261224420715013
20,0.001,0.40349743019209966,0.8610444444444444,0.8608447825354529,0.8611482671221251,0.8609546558947352,0.5109342761993408,0.8276,0.8369719491815625,0.8251546243518663,0.8242412411338267
