actual,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
class_0,3337,143,385,104,94,123,81,108,464,162
class_1,123,3822,89,92,62,124,90,93,175,337
class_2,363,64,2962,264,339,326,287,212,131,70
class_3,166,81,440,2259,209,1128,284,169,146,98
class_4,144,65,470,264,2930,305,306,368,115,74
class_5,110,76,387,677,204,3048,106,270,68,59
class_6,115,90,420,480,213,196,3256,96,97,72
class_7,124,59,314,172,285,453,62,3334,97,85
class_8,295,160,126,98,72,90,69,71,3895,106
class_9,158,302,107,101,53,146,77,102,164,3736
